02/1891,15.48
03/1891,15.05
04/1891,15.41
05/1891,15.57
06/1891,15.66
07/1891,15.62
08/1891,16.16
09/1891,17.71
1/1891,17.72
11/1891,17.67
12/1891,18.21
01/1892,19.02
02/1892,19.04
03/1892,19.74
04/1892,19.94
05/1892,19.91
06/1892,19.77
07/1892,19.21
08/1892,19.20
09/1892,18.69
1/1892,19.04
11/1892,18.46
12/1892,18.01
01/1893,17.66
02/1893,17.13
03/1893,16.90
04/1893,17.10
05/1893,15.78
06/1893,15.42
07/1893,14.35
08/1893,14.59
09/1893,15.01
1/1893,15.27
11/1893,15.94
12/1893,15.61
01/1894,15.74
02/1894,16.20
03/1894,17.19
04/1894,17.43
05/1894,16.81
06/1894,16.61
07/1894,16.29
08/1894,16.46
09/1894,16.52
1/1894,16.50
11/1894,16.54
12/1894,16.67
01/1895,16.52
02/1895,16.33
03/1895,16.36
04/1895,16.39
05/1895,17.08
06/1895,17.21
07/1895,17.55
08/1895,18.07
09/1895,18.20
1/1895,17.94
11/1895,17.34
12/1895,16.55
01/1896,16.58
02/1896,17.52
03/1896,17.23
04/1896,17.64
05/1896,17.83
06/1896,17.78
07/1896,16.64
08/1896,15.70
09/1896,16.54
1/1896,16.44
11/1896,17.09
12/1896,16.50
01/1897,17.03
02/1897,16.89
03/1897,16.96
04/1897,16.70
05/1897,17.05
06/1897,17.85
07/1897,18.65
08/1897,19.01
09/1897,19.37
1/1897,19.03
11/1897,18.36
12/1897,18.75
01/1898,19.25
02/1898,18.92
03/1898,18.04
04/1898,17.71
05/1898,17.60
06/1898,19.54
07/1898,19.86
08/1898,20.54
09/1898,20.44
1/1898,19.95
11/1898,20.53
12/1898,21.40
01/1899,22.93
02/1899,23.05
03/1899,23.28
04/1899,23.15
05/1899,22.09
06/1899,21.21
07/1899,21.56
08/1899,21.73
09/1899,20.59
1/1899,20.15
11/1899,20.20
12/1899,18.51
01/1900,18.67
02/1900,18.70
03/1900,18.78
04/1900,18.94
05/1900,18.40
06/1900,17.99
07/1900,17.69
08/1900,18.07
09/1900,17.34
1/1900,18.10
11/1900,19.42
12/1900,20.74
01/1901,20.98
02/1901,21.68
03/1901,22.35
04/1901,24.41
05/1901,23.06
06/1901,25.24
07/1901,23.14
08/1901,23.08
09/1901,22.59
1/1901,22.25
11/1901,22.38
12/1901,21.68
01/1902,22.34
02/1902,22.46
03/1902,22.41
04/1902,22.82
05/1902,22.43
06/1902,21.96
07/1902,22.39
08/1902,23.17
09/1902,22.86
1/1902,20.60
11/1902,20.41
12/1902,19.63
01/1903,20.32
